ID,invoiceNumber,customer_ID,invoiceDate,dueDate,companyCode_ID,glAccount_ID,costCenter_ID,project_ID,amount,currency_code,taxAmount,description,paymentStatus,paymentDate,daysSalesOutstanding
ci001,INV-2024-0001,cust001,2024-03-01,2024-05-30,cc03,gl025,cc-iraq,proj003,2500000.00,USD,0.00,Iraq Model Home - Progress Payment 1,Paid,2024-05-28,88
ci002,INV-2024-0002,cust001,2024-06-15,2024-09-13,cc03,gl025,cc-iraq,proj003,1500000.00,USD,0.00,Iraq Model Home - Progress Payment 2,Open,,180
ci003,INV-2024-0003,cust010,2024-02-15,2024-03-17,cc01,gl030,cc-const,proj001,850000.00,USD,0.00,Sudden Valley Home Sale - Lot 12,Paid,2024-03-15,28
ci004,INV-2024-0004,cust010,2024-04-01,2024-05-01,cc01,gl030,cc-const,proj001,925000.00,USD,0.00,Sudden Valley Home Sale - Lot 15,Paid,2024-04-28,27
ci005,INV-2024-0005,cust010,2024-06-15,2024-07-15,cc01,gl030,cc-const,proj001,780000.00,USD,0.00,Sudden Valley Home Sale - Lot 8,Open,,180
ci006,INV-2024-0006,cust002,2024-05-01,2024-05-31,cc01,gl025,cc-const,proj001,1200000.00,USD,0.00,Sitwell land swap - construction services,Open,,225
ci007,INV-2024-0007,cust003,2024-07-01,2024-08-15,cc01,gl025,cc-const,proj001,450000.00,USD,0.00,Austero joint venture - development fees,Paid,2024-08-10,40
ci008,INV-2024-0008,cust004,2024-01-31,2024-01-31,cc01,gl027,cc-banana,,28500.00,USD,0.00,Banana Stand January Cash Sales,Paid,2024-01-31,0
ci009,INV-2024-0009,cust004,2024-02-28,2024-02-28,cc01,gl027,cc-banana,,31200.00,USD,0.00,Banana Stand February Cash Sales,Paid,2024-02-28,0
ci010,INV-2024-0010,cust004,2024-03-31,2024-03-31,cc01,gl027,cc-banana,,35600.00,USD,0.00,Banana Stand March Cash Sales,Paid,2024-03-31,0
ci011,INV-2024-0011,cust012,2024-04-15,2024-06-14,cc02,gl028,cc-mexico,proj004,125000.00,USD,0.00,Cornballer Mexico distribution rights,Paid,2024-06-10,56
ci012,INV-2024-0012,cust008,2024-06-01,2024-11-28,cc03,gl025,cc-iraq,proj003,500000.00,USD,0.00,Saddam Holdings consulting fee - SUSPICIOUS,Open,,190
ci013,INV-2024-0013,cust006,2024-08-15,2024-09-14,cc01,gl025,cc-mktg,,75000.00,USD,0.00,Tantamount product placement deal,Paid,2024-09-12,28
ci014,INV-2024-0014,cust005,2024-09-01,2024-09-30,cc01,gl025,cc-exec,,45000.00,USD,0.00,Country Club corporate membership,Paid,2024-09-28,27
