ID,intelId,vendorName,productName,sourceType,sourceUrl,publishDate,aiFeatureName,aiFeatureDescription,featureType,isActive
vai001,vai001,Microsoft,Microsoft 365,ProductPage,https://www.microsoft.com/en-us/microsoft-365/copilot,2023-11-01,Copilot AI,Microsoft 365 Copilot uses GPT-4 to generate content in Word Excel and PowerPoint,GenAI,true
vai002,vai002,Microsoft,Microsoft 365,ReleaseNotes,https://learn.microsoft.com/en-us/microsoftteams/copilot,2024-01-15,Copilot in Teams,AI-powered meeting summaries and action items in Microsoft Teams,NLP,true
vai003,vai003,Salesforce,Sales Cloud,TechPress,https://techcrunch.com/2023/03/einstein-gpt,2023-03-07,Einstein GPT,Salesforce Einstein GPT brings generative AI to every CRM workflow,GenAI,true
vai004,vai004,Salesforce,Sales Cloud,ProductPage,https://www.salesforce.com/products/einstein-analytics,2023-09-20,Einstein Analytics,AI-powered analytics with automated insights and predictions,Predictive,true
vai005,vai005,Slack,Slack Business,Blog,https://slack.com/blog/productivity/slack-ai,2024-02-14,Slack AI,Slack AI summarizes channels threads and provides smart search,NLP,true
vai006,vai006,Zoom,Zoom Workplace,ReleaseNotes,https://news.zoom.us/ai-companion-release,2023-09-05,AI Companion,Zoom AI Companion generates meeting summaries and action items automatically,GenAI,true
vai007,vai007,Zoom,Zoom Workplace,ProductPage,https://zoom.us/en/ai-assistant,2024-03-10,Smart Recording,AI-powered smart chapters and highlights for recorded meetings,ML,true
vai008,vai008,Workday,Workday HCM,TechPress,https://www.reuters.com/technology/workday-ai-skills,2023-10-15,Skills Intelligence,ML-powered skills intelligence and workforce planning,ML,true
vai009,vai009,Workday,Workday HCM,ProductPage,https://www.workday.com/en-us/solutions/ai-ml,2024-01-20,Anomaly Detection,Automated anomaly detection in financial transactions,ML,true
vai010,vai010,ServiceNow,ServiceNow ITSM,ReleaseNotes,https://docs.servicenow.com/now-assist,2023-11-30,Now Assist,GenAI-powered case summarization and resolution recommendations,GenAI,true
vai011,vai011,BlackLine,BlackLine Recon,ProductPage,https://www.blackline.com/solutions/ai-matching,2023-08-15,AI Matching,AI-powered transaction matching and anomaly detection for reconciliation,ML,true
vai012,vai012,BlackLine,BlackLine Recon,Blog,https://www.blackline.com/blog/predictive-analytics,2024-02-28,Predictive Analytics,Machine learning models predict reconciliation exceptions,Predictive,true
vai013,vai013,Atlassian,Jira Software,ReleaseNotes,https://www.atlassian.com/blog/announcements/atlassian-intelligence,2023-10-04,Atlassian Intelligence,AI-powered issue summarization work suggestions and natural language JQL,GenAI,true
vai014,vai014,Adobe,Acrobat Pro,ProductPage,https://www.adobe.com/products/firefly,2023-09-13,Firefly,Adobe Firefly generative AI for image creation and editing,GenAI,true
vai015,vai015,Adobe,Acrobat Pro,ReleaseNotes,https://www.adobe.com/acrobat/generative-ai,2024-02-20,AI Assistant,AI Assistant in Acrobat summarizes and answers questions about PDFs,NLP,true
vai016,vai016,Microsoft,Power BI,ProductPage,https://learn.microsoft.com/en-us/power-bi/copilot,2023-11-15,Copilot in Power BI,Natural language queries and AI-generated report narratives,GenAI,true
vai017,vai017,SAP,S/4HANA,ProductPage,https://www.sap.com/products/artificial-intelligence/joule,2024-01-25,Joule,SAP Joule AI assistant for enterprise workflows,GenAI,true
vai018,vai018,DocuSign,DocuSign eSignature,ReleaseNotes,https://www.docusign.com/blog/intelligent-insights,2023-12-10,Intelligent Insights,AI-powered agreement analytics and risk identification,ML,true
vai019,vai019,SAP,Concur Expense,ProductPage,https://www.concur.com/en-us/expense-management/expenseit,2023-06-15,ExpenseIt,AI receipt scanning and expense categorization,ComputerVision,true
