ID,itemId,reconciliation_ID,itemType,description,amount,itemDate,ageDays,supportingDocRef,hasDocumentation,investigationNotes,isResolved,resolvedDate
ri001,RI-001,brec01,OutstandingCheck,Check #4501 - Clima Mist HVAC service,1500.00,2024-01-25,6,DOC-RI001,true,Normal outstanding check cleared Feb,true,2024-02-03
ri002,RI-002,brec01,DepositInTransit,Customer deposit - Orange County Homebuyers,1000.00,2024-01-30,1,DOC-RI002,true,Cleared next business day,true,2024-02-01
ri003,RI-003,brec02,OutstandingCheck,Check #4515 - Alliance of Magicians dues,2000.00,2024-02-20,8,DOC-RI003,true,GOB membership renewal cleared March,true,2024-03-05
ri004,RI-004,brec02,BankCharge,Monthly service fee,150.00,2024-02-28,0,DOC-RI004,true,Normal bank fee,true,2024-02-28
ri005,RI-005,brec02,DepositInTransit,Banana Stand daily cash deposit,1350.00,2024-02-27,1,DOC-RI005,true,Cleared next day,true,2024-02-28
ri006,RI-006,brec03,OutstandingCheck,Check #4530 - Jarvis and Associates legal fees,3500.00,2024-03-22,9,DOC-RI006,true,Wayne Jarvis cleared in April,true,2024-04-02
ri007,RI-007,brec03,DepositInTransit,Insurance reimbursement deposit,2500.00,2024-03-29,2,DOC-RI007,true,Cleared April 1,true,2024-04-01
ri008,RI-008,brec04,OutstandingCheck,Check #4545 - Office supplies,800.00,2024-04-25,5,DOC-RI008,true,Normal vendor payment,true,2024-05-02
ri009,RI-009,brec04,BankCharge,Wire transfer fee - Mexico Cornballer shipment,50.00,2024-04-30,0,DOC-RI009,true,International wire fee,true,2024-04-30
ri010,RI-010,brec04,DepositInTransit,Sudden Valley lot deposit,950.00,2024-04-29,1,DOC-RI010,true,Cleared next day,true,2024-05-01
ri011,RI-011,brec05,OutstandingCheck,Check #4560 - Parmesan PI invoice,1500.00,2024-05-20,11,DOC-RI011,true,Gene Parmesan investigation fee,true,2024-06-03
ri012,RI-012,brec05,DepositInTransit,Banana Stand weekend deposits,1400.00,2024-05-31,0,DOC-RI012,true,Weekend deposit cleared Monday,true,2024-06-02
ri013,RI-013,brec06,OutstandingCheck,Check #4575 - Carl Weathers consulting,2000.00,2024-06-22,8,DOC-RI013,true,Acting coach payment,true,2024-07-02
ri014,RI-014,brec06,DepositInTransit,Customer payment - Tantamount Studios,2500.00,2024-06-28,2,DOC-RI014,true,Maeby studio payment,true,2024-07-01
ri015,RI-015,brec07,OutstandingCheck,Check #4590 - Yacht Services maintenance,4000.00,2024-07-15,16,DOC-RI015,true,Yacht Seaward quarterly maintenance,true,2024-08-05
ri016,RI-016,brec07,DepositInTransit,Construction milestone - Iraq project,3000.00,2024-07-30,1,DOC-RI016,true,Cleared next day,true,2024-08-01
ri017,RI-017,brec08,OutstandingCheck,Check #4605 - Segway fleet maintenance,2500.00,2024-08-20,11,DOC-RI017,true,GOB Segway fleet,true,2024-09-03
ri018,RI-018,brec08,DepositInTransit,Customer refund reversal,2500.00,2024-08-30,1,DOC-RI018,true,Normal clearing,true,2024-09-02
ri019,RI-019,brec09,OutstandingCheck,Check #4620 - Balboa Towers rent,4500.00,2024-09-25,5,DOC-RI019,true,Lucille rent payment,true,2024-10-02
ri020,RI-020,brec09,DepositInTransit,Banana Stand end-of-summer rush,2500.00,2024-09-30,0,DOC-RI020,true,Heavy foot traffic September,true,2024-10-01
ri021,RI-021,brec01,Other,"Transfer to banana stand - cash lining replenishment",250000.00,2024-01-15,350,,false,,false,
ri022,RI-022,brec10,OutstandingCheck,Check #4635 - Hot Cops performance,2500.00,2024-10-20,11,DOC-RI022,true,Lindsay party entertainment,true,2024-11-03
ri023,RI-023,brec10,DepositInTransit,Wire from Mexico subsidiary,1500.00,2024-10-30,1,DOC-RI023,true,Cornballer revenue transfer,true,2024-10-31
ri024,RI-024,brec11,OutstandingCheck,Check #4650 - Forget-Me-Now Pharmaceuticals,1500.00,2024-11-15,15,,false,,false,
ri025,RI-025,brec11,Other,Unidentified cash deposit - source unknown,500.00,2024-11-20,10,,false,,false,
ri026,RI-026,brec11,DepositInTransit,Cornballer cash sales deposit - no receipts,500.00,2024-11-28,2,,false,,false,
ri027,RI-027,brec12,OutstandingCheck,Check #4665 - Year-end vendor payment,3000.00,2024-12-28,3,DOC-RI027,true,Normal year-end payment,true,2025-01-03
ri028,RI-028,brec12,DepositInTransit,Year-end customer receipts,2000.00,2024-12-31,0,DOC-RI028,true,Cleared January 2,true,2025-01-02
ri029,RI-029,brec09,Other,Cornballer US cash deposit - illegal product sales,45000.00,2024-09-12,18,,false,,false,
ri030,RI-030,brec07,InterestEarned,Monthly interest earned not yet posted to GL,250.00,2024-07-31,0,DOC-RI030,true,Normal interest posting,true,2024-08-01
